TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6530298090	AT5G63370	AT5G63370.4	protein_coding	CDKG1 interacts with the splicing factor RSZ33 to regulate proper splicing of Cals5 Pre-mRNA.	CDKG1; CYCLIN-DEPENDENT KINASE G1	 nucleus, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cyclin-dependent protein serine/threonine kinase activity, flower, flower bud, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, mRNA splicing, via spliceosome, mature plant embryo stage, meiotic cell cycle, nuclear speck, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen exine formation, pollen tube cell, protein binding, protein kinase activity, protein phosphorylation, regulation of (1->3)-beta-D-glucan biosynthetic process, root, seed, sepal, shoot apex, shoot system, spliceosomal complex, sporocyte, stamen, tapetum, vascular leaf, vascular leaf senescent stage	true
Gene:6029999581	FGENESH2_KG.1__4234__AT1G51660.1	FGENESH2_KG.1__4234__AT1G51660.1.1	protein_coding			 ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:6030077190	AL_SCAFFOLD_0004_3033	AL_SCAFFOLD_0004_3033.1	protein_coding			 ATP binding, binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups, protein phosphorylation, ATP binding, binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups	false
Gene:2014961	AT1G21230	AT1G21230.1	protein_coding	encodes a wall-associated kinase The mRNA is cell-to-cell mobile.	WAK5; WALL ASSOCIATED KINASE 5	 extracellular region, ATP binding, calcium ion binding, cell-to-cell mobile RNA, extracellular region, integral component of membrane, kinase activity, plasma membrane, polysaccharide binding, protein phosphorylation, protein serine/threonine kinase activity	false
Gene:2025741	AT1G80870	AT1G80870.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 chloroplast, plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, protein phosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	false
Gene:2026096	AT1G34210	AT1G34210.1	protein_coding	Plasma membrane LRR receptor-like serine threonine kinase expressed during embryogenesis in locules until stage 6 anthers, with higher expression in the tapetal cell layer. SERK1 and SERK2 receptor kinases function redundantly as an important control point for sporophytic development  controlling male gametophyte production. The mRNA is cell-to-cell mobile.	ATSERK2; SERK2; SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 2	 plasma membrane, protein phosphorylation, ATP binding, F microspore release stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, anther, brassinosteroid mediated signaling pathway, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, lipid binding, mature plant embryo stage, microsporogenesis, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, pollen maturation, protein binding, protein phosphorylation, receptor serine/threonine kinase binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, signaling receptor binding, stamen, transmembrane receptor protein serine/threonine kinase activity, vascular leaf, vascular leaf senescent stage	true
Gene:2031229	AT1G25390	AT1G25390.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR- LIKE PROTEIN KINASE-LIKE 4; LRK10L4	 extracellular region, plasma membrane, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, protein phosphorylation, protein serine/threonine kinase activity, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2031922	AT1G05700	AT1G05700.1	protein_coding	Leucine-rich repeat transmembrane protein kinase protein;(source:Araport11)		 extracellular region, ATP binding, extracellular region, hypocotyl, integral component of membrane, kinase activity, phosphorylation, plasma membrane, protein binding, protein kinase activity, protein phosphorylation, protein serine/threonine kinase activity, root, shoot system	false
Gene:2058635	AT2G23200	AT2G23200.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 extracellular region, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, extracellular region, flower, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, kinase activity, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phosphorylation, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plasma membrane, plasmodesma, pollen, protein autophosphorylation, protein kinase activity, protein serine/threonine kinase activity, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, vacuole, vascular leaf, vascular leaf senescent stage	false
Gene:2059893	AT2G16620	AT2G16620.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)		 plasma membrane, plasma membrane, protein phosphorylation, transmembrane receptor protein serine/threonine kinase activity	false
Gene:2043812	AT2G26700	AT2G26700.1	protein_coding	Member of AGC VIIIa Kinase gene family. Encodes PID2, a homolog of PID. Simultaneous disruption of PID(AT2G34650) and its 3 closest homologs (PID2/AT2G26700, WAG1/AT1G53700, and WAG2/AT3G14370) abolishes the formation of cotyledons.	AGC VIIIA KINASE 1-10; AGC1-10; PID2; PINOID2	 chloroplast, ATP binding, auxin-activated signaling pathway, chloroplast, cotyledon development, cytoplasm, embryo vascular system, flower, kinase activity, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo development stage, plasma membrane, protein binding, protein phosphorylation, protein serine/threonine kinase activity, seed, shoot apex	true
Gene:2045657	AT2G30040	AT2G30040.1	protein_coding	member of MEKK subfamily	MAPKKK14; MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14	 nucleus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, activation of protein kinase activity, carpel, cauline leaf, chloroplast organization, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo globular stage, plasma membrane, pollen, positive regulation of transcription, DNA-templated, protein autophosphorylation, protein serine/threonine kinase activity, root, sepal, shoot apex, shoot system, signal transduction by protein phosphorylation, stamen, stress-activated protein kinase signaling cascade, vascular leaf, vascular leaf senescent stage	true
Gene:2102796	AT3G46760	AT3G46760.1	protein_coding	Protein kinase superfamily protein;(source:Araport11)	L-TYPE LECTIN RECEPTOR KINASE S.3; LECRK-S.3	 mitochondrion, ATP binding, defense response, defense response to bacterium, defense response to oomycetes, flower, flowering stage, mitochondrion, phosphorylation, plasma membrane, protein phosphorylation, root, root hair cell, transmembrane receptor protein serine/threonine kinase activity, trichoblast	false
Gene:2142618	AT5G03470	AT5G03470.1	protein_coding	Encodes B' regulatory subunit of PP2A (AtB'alpha), putative size of 57 kDa.Functions redundantly with the beta subunit do maintain sister chromatid cohesion during meiosis.	ATB' ALPHA	 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, brassinosteroid mediated signaling pathway, carpel, cauline leaf, collective leaf structure, condensed nuclear chromosome, centromeric region, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, megasporogenesis, meiotic sister chromatid cohesion, microsporogenesis, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen tube cell, protein binding, protein dephosphorylation, protein phosphatase activator activity, protein phosphatase regulator activity, protein phosphatase type 2A complex, regulation of phosphorylation, regulation of protein autophosphorylation, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
Gene:2100600	AT3G55270	AT3G55270.1	protein_coding	Encodes MAP kinase phosphatase 1 (MKP1).  Loss of MKP1 results in hypersensitivity to acute UV-B stress, but without impairing UV-B acclimation.	ARABIDOPSIS MITOGEN-ACTIVATED PROTEIN KINASE PHOSPHATASE 1; ATMKP1; MITOGEN-ACTIVATED PROTEIN KINASE PHOSPHATASE 1; MKP1	 cytosol, nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, MAP kinase tyrosine/serine/threonine phosphatase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, defense response, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inactivation of MAPK activity, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein dephosphorylation, protein tyrosine phosphatase activity, response to L-glutamate, response to UV-B, response to UV-C, response to salt stress, root, seed, sepal, shoot apex, shoot system, stamen, vascular leaf, vascular leaf senescent stage	true
